state_data.timeStamp_state,has_state_data,state_data.state_x,state_data.state_vx,state_data.state_ax,state_data.state_apo
195704493,1,1809.11,219.271,-20.9674,3823.97
195709494,1,1829.38,219.96599999999998,-21.0218,3854.25
195714552,1,1849.89,220.618,-21.0803,3886.06
195719772,1,1870.91,221.17700000000002,-21.2396,3917.38
195725021,1,1891.37,221.571,-21.4963,3947.98
195730209,1,1908.97,221.46400000000003,-21.8865,3975.41
195735427,1,1924.41,220.898,-22.2585,3991.94
195740645,1,1937.05,219.86900000000003,-22.3061,3998.95
195747265,1,1951.26,218.278,-22.4709,3995.91
195752518,1,1963.09,217.137,-22.5183,3985.64
195758169,1,1976.0,215.968,-22.1469,3979.94
195763170,1,1987.08,214.855,-22.1422,3974.9
195768230,1,1997.79,213.69,-22.1423,3969.13
195773472,1,2008.75,212.463,-22.1425,3962.05
195778666,1,2019.54,211.278,-22.1254,3954.22
195785672,1,2035.09,209.84099999999998,-21.6331,3947.04
195790673,1,2047.43,209.05,-21.622,3940.88
195795731,1,2059.8,208.255,-21.7055,3941.35
195800949,1,2072.82,207.459,-21.4601,3941.78
195806196,1,2085.33,206.585,-21.3141,3942.84
195811383,1,2097.65,205.74,-21.1789,3942.47
195816600,1,2110.58,204.94,-21.1622,3942.17
195821818,1,2123.13,204.081,-21.0761,3943.2
195828435,1,2138.32,202.951,-20.9961,3942.91
195833684,1,2151.25,202.229,-20.7672,3941.33
195838878,1,2164.59,201.627,-20.7911,3943.62
195844095,1,2178.33,201.023,-20.8613,3948.17
195849313,1,2191.2,200.27700000000002,-20.6672,3953.07
195854556,1,2204.13,199.548,-20.4072,3954.91
195859750,1,2217.51,198.93900000000002,-20.2069,3957.05
195866756,1,2235.28,198.202,-20.3704,3961.64
195871757,1,2248.23,197.685,-20.4902,3968.75
195877235,1,2261.54,197.00599999999997,-20.4032,3974.22
195882461,1,2274.95,196.468,-19.7984,3977.61
195887708,1,2289.29,196.088,-19.8295,3983.22
195892896,1,2303.82,195.763,-19.9341,3992.16
195898115,1,2317.36,195.205,-20.1182,4002.11
195903332,1,2330.55,194.58900000000003,-19.8002,4007.53
195909931,1,2346.92,193.933,-19.4652,4011.9
195915184,1,2361.34,193.62900000000002,-19.3489,4018.84
195920377,1,2375.3,193.268,-19.608,4029.02
195925596,1,2388.61,192.72299999999998,-19.8095,4037.89
