highG_data.timeStamp_highG,has_highG_data,highG_data.ax,highG_data.ay,highG_data.az
209542238,1,0.472656,-0.8164060000000001,0.0625
209544336,1,0.472656,-0.8007810000000001,0.0546875
209546946,1,0.460938,-0.855469,0.015625
209549557,1,0.462891,-0.964844,-0.0390625
209552165,1,0.585938,-1.08398,-0.14843800000000001
209554775,1,0.5371090000000001,-0.914062,-0.10546900000000001
209557383,1,0.515625,-0.814453,-0.0664062
209559992,1,0.642578,-0.8574219999999999,-0.0078125
209562601,1,0.673828,-0.7246090000000001,0.00390625
209565210,1,0.7128909999999999,-0.492188,0.03125
209567820,1,0.716797,-0.419922,0.0332031
209570428,1,0.7246090000000001,-0.347656,0.0371094
209573036,1,0.7773439999999999,-0.261719,0.0859375
209575647,1,0.8378909999999999,-0.197266,0.19531199999999999
209578254,1,1.02734,0.0234375,0.32617199999999996
209582652,1,0.8769530000000001,-0.22656199999999999,0.150391
209584742,1,0.8378909999999999,-0.306641,0.128906
209587352,1,0.8183590000000001,-0.378906,0.11718800000000001
209589960,1,0.7851560000000001,-0.439453,0.111328
209592569,1,0.732422,-0.515625,0.11328099999999999
209595178,1,0.7148439999999999,-0.5566409999999999,0.123047
209597788,1,0.6875,-0.595703,0.13281199999999999
209600396,1,0.640625,-0.6367189999999999,0.13281199999999999
209603006,1,0.5996090000000001,-0.648438,0.123047
209605615,1,0.5351560000000001,-0.6777340000000001,0.12109400000000001
209608223,1,0.482422,-0.6914060000000001,0.126953
209611242,1,0.423828,-0.6992189999999999,0.126953
209613635,1,0.359375,-0.9628909999999999,0.189453
209616050,1,0.353516,-1.12305,0.275391
209618659,1,0.363281,-1.11133,0.347656
209623057,1,0.5253909999999999,-0.789062,0.285156
209625155,1,0.638672,-0.7929689999999999,0.333984
209627764,1,0.736328,-0.783203,0.380859
209630375,1,0.796875,-0.6933590000000001,0.37304699999999996
209632984,1,0.835938,-0.539062,0.175781
209635593,1,0.828125,-0.5195310000000001,0.09960939999999999
209638202,1,0.8300780000000001,-0.470703,0.0644531
209640811,1,0.8535159999999999,-0.320312,0.0449219
209643420,1,0.8613280000000001,-0.289062,0.0371094
209646030,1,0.949219,-0.21875,0.06054690000000001
209648639,1,1.00195,-0.11914100000000001,0.16406199999999999
209651247,1,0.9902340000000001,-0.0976562,0.26367199999999996
209653856,1,0.914062,-0.09960939999999999,0.193359
209656466,1,0.890625,-0.171875,0.154297
209659074,1,0.875,-0.28125,0.13281199999999999
209663471,1,0.8339840000000001,-0.5507810000000001,0.11328099999999999
209665570,1,0.8378909999999999,-0.548828,0.101562
209668181,1,0.847656,-0.523438,0.0898438
209670789,1,0.851562,-0.517578,0.078125
209673399,1,0.8222659999999999,-0.6191409999999999,0.111328
209676007,1,0.765625,-0.6601560000000001,0.101562
209678616,1,0.7128909999999999,-0.6816409999999999,0.0625
209681225,1,0.6875,-0.679688,0.0410156
209683835,1,0.6523439999999999,-0.673828,0.0234375
209686445,1,0.654297,-0.6308590000000001,-0.00195312
209689052,1,0.6621090000000001,-0.6210939999999999,0.011718799999999998
209691661,1,0.6523439999999999,-0.6152340000000001,0.0390625
209694271,1,0.6347659999999999,-0.617188,0.150391
209696879,1,0.626953,-0.617188,0.248047
209699488,1,0.6191409999999999,-0.5839840000000001,0.363281
209703886,1,0.5058590000000001,-0.472656,0.648438
209705985,1,0.480469,-0.435547,0.7597659999999999
209708593,1,0.455078,-0.398438,0.8164060000000001
209711203,1,0.445312,-0.37304699999999996,0.890625
209713812,1,0.423828,-0.0625,0.9003909999999999
209716422,1,0.501953,0.248047,0.9433590000000001
209719031,1,0.5371090000000001,0.492188,0.894531
209722097,1,0.501953,0.26367199999999996,1.04688
209724471,1,0.4375,-0.019531200000000002,1.18555
209726859,1,0.492188,-0.22656199999999999,0.794922
209729467,1,0.496094,-0.322266,0.5371090000000001
209732076,1,0.554688,-0.382812,0.443359
209734684,1,0.748047,-0.490234,0.8066409999999999
209737294,1,0.7929689999999999,-0.5839840000000001,1.00781
209739902,1,0.798828,-0.6347659999999999,0.824219
209744482,1,0.894531,-0.5996090000000001,0.40429699999999996
209746580,1,0.9082030000000001,-0.6308590000000001,0.396484
209749189,1,0.898438,-0.6503909999999999,0.3125
209751799,1,0.9277340000000001,-0.6972659999999999,0.291016
209754410,1,0.9707030000000001,-0.7148439999999999,0.318359
209757018,1,0.964844,-0.703125,0.322266
209759628,1,0.957031,-0.6914060000000001,0.26757800000000004
209762261,1,0.9042969999999999,-0.664062,0.130859
209764846,1,0.875,-0.611328,0.0332031
209767455,1,0.8886719999999999,-0.5371090000000001,0.00195312
209770063,1,0.90625,-0.5527340000000001,0.00976562
209772672,1,0.941406,-0.517578,0.019531200000000002
209775280,1,1.00977,-0.462891,-0.0175781
209777890,1,1.0507799999999998,-0.488281,-0.0371094
209780498,1,1.29492,-0.5839840000000001,-0.0253906
209784897,1,1.8164099999999999,-0.6933590000000001,-0.177734
209786995,1,2.01562,-0.5976560000000001,-0.277344
209789604,1,2.0,-0.455078,-0.308594
209792213,1,1.82812,0.00390625,-0.462891
209794822,1,1.63867,0.0292969,-0.435547
209797433,1,1.36914,-0.08789060000000001,-0.34179699999999996
209800040,1,1.00391,-0.371094,-0.277344
209802650,1,1.1054700000000002,-0.38867199999999996,-0.460938
209805258,1,1.2207,-0.261719,-0.640625
209807866,1,0.9785159999999999,-0.273438,-0.451172
209810477,1,0.9355469999999999,-0.353516,-0.5117189999999999
209813086,1,0.898438,-0.402344,-0.539062
209815694,1,0.751953,-0.6308590000000001,-0.580078
209818303,1,0.671875,-0.732422,-0.6835939999999999
209820912,1,0.5585939999999999,-0.751953,-1.10742
209825309,1,0.25,-0.710938,-0.6191409999999999
209827408,1,0.167969,-0.689453,-0.5253909999999999
209830479,1,0.136719,-0.6152340000000001,-0.474609
209832628,1,0.246094,-0.570312,-0.632812
209835236,1,0.289062,-0.539062,-0.703125
209837845,1,0.189453,-0.5566409999999999,-0.726562
209840455,1,-0.11914100000000001,-0.5996090000000001,-1.25781
209843062,1,-0.365234,-0.578125,-1.2070299999999998
209845673,1,-0.494141,-0.5507810000000001,-0.996094
209848281,1,-0.595703,-0.5527340000000001,-1.04688
209850890,1,-0.5742189999999999,-0.560547,-0.8222659999999999
209853498,1,-0.320312,-0.71875,-0.492188
209856108,1,-0.355469,-0.8125,-0.5097659999999999
209858716,1,-0.462891,-0.9160159999999999,-0.6660159999999999
209861326,1,-0.8007810000000001,-0.921875,-1.02539
209865724,1,-0.7773439999999999,-0.7558590000000001,-0.523438
209867823,1,-0.9082030000000001,-0.6972659999999999,-0.496094
209870432,1,-1.0332,-0.6367189999999999,-0.490234
209873041,1,-1.0507799999999998,-0.5722659999999999,-0.46875
209875650,1,-1.04102,-0.507812,-0.464844
209878260,1,-1.03711,-0.40820300000000004,-0.447266
209880869,1,-0.9394530000000001,-0.207031,-0.273438
209883477,1,-0.8925780000000001,-0.12109400000000001,-0.208984
209886086,1,-0.910156,-0.046875,-0.244141
209888696,1,-0.8730469999999999,0.128906,-0.253906
209891305,1,-0.824219,0.230469,-0.212891
209893913,1,-0.7871090000000001,0.433594,-0.22656199999999999
209896522,1,-0.7773439999999999,0.5097659999999999,-0.232422
209899132,1,-0.748047,0.554688,-0.205078
209901741,1,-0.6914060000000001,0.6914060000000001,-0.17968800000000001
209906138,1,-0.5898439999999999,0.796875,-0.154297
209908236,1,-0.5117189999999999,0.847656,-0.19531199999999999
209910846,1,-0.449219,0.878906,-0.244141
209913455,1,-0.33007800000000004,0.9121090000000001,-0.337891
209916063,1,-0.234375,0.9199219999999999,-0.304688
209918671,1,-0.152344,0.929688,-0.232422
209921282,1,-0.00195312,0.9355469999999999,-0.111328
209923891,1,0.0429688,0.933594,-0.0820312
209926499,1,0.07617189999999999,0.933594,-0.0703125
209929108,1,0.150391,0.9316409999999999,-0.05273440000000001
209931718,1,0.169922,0.925781,-0.0488281
209934327,1,0.220703,0.914062,-0.0292969
209936935,1,0.25,0.9121090000000001,-0.0214844
209939986,1,0.324219,0.902344,-0.0253906
209942154,1,0.369141,0.894531,-0.0390625
209946550,1,0.38867199999999996,0.8925780000000001,-0.07617189999999999
209948643,1,0.359375,0.898438,-0.08398439999999999
209951252,1,0.32617199999999996,0.9003909999999999,-0.06054690000000001
209953861,1,0.332031,0.910156,-0.0351562
209956471,1,0.349609,0.9160159999999999,-0.0292969
209959081,1,0.367188,0.914062,-0.0253906
209961689,1,0.32617199999999996,0.933594,-0.142578
209964298,1,0.31054699999999996,0.9511719999999999,-0.236328
209966908,1,0.26367199999999996,0.9433590000000001,-0.09960939999999999
209969517,1,0.22656199999999999,0.953125,-0.0585938
209972127,1,0.160156,0.957031,-0.015625
209974734,1,0.0332031,0.96875,0.0507812
209977342,1,-0.0292969,0.957031,0.078125
209979951,1,-0.0664062,0.945312,0.10546900000000001
209982561,1,-0.19531199999999999,0.917969,0.13281199999999999
209986959,1,-0.501953,0.8691409999999999,0.134766
209989058,1,-0.5878909999999999,0.835938,0.125
209991668,1,-0.6445310000000001,0.7910159999999999,0.111328
209994276,1,-0.7089840000000001,0.695312,0.08398439999999999
209996885,1,-0.6875,0.7285159999999999,0.09179689999999999
209999494,1,-0.701172,0.78125,0.107422
210002104,1,-0.8027340000000001,0.796875,0.14843800000000001
210004712,1,-0.957031,0.773438,0.173828
210007322,1,-1.3554700000000002,0.767578,0.207031
210009930,1,-1.19531,0.585938,0.19531199999999999
210012539,1,-0.9667969999999999,0.617188,0.158203
210015149,1,-0.78125,0.8378909999999999,0.150391
210017759,1,-0.7285159999999999,0.8730469999999999,0.234375
210020368,1,-0.720703,0.9121090000000001,0.359375
210022978,1,-0.626953,0.8378909999999999,0.384766
210027373,1,-0.6054689999999999,0.960938,0.300781
210029472,1,-0.5898439999999999,0.976562,0.277344
210032081,1,-0.5429689999999999,0.9824219999999999,0.275391
210034692,1,-0.6289060000000001,1.02344,0.349609
210037299,1,-0.626953,0.9238280000000001,0.371094
210039908,1,-0.7089840000000001,0.8574219999999999,0.34179699999999996
210042518,1,-0.7714840000000001,1.0742200000000002,0.181641
210045684,1,-0.703125,0.984375,0.423828
210047837,1,-0.8007810000000001,0.9941409999999999,0.359375
210050416,1,-1.0117200000000002,1.0293,0.222656
210053025,1,-1.04883,0.9238280000000001,0.142578
210055634,1,-0.9511719999999999,0.835938,-0.015625
210058243,1,-0.917969,0.8691409999999999,0.0
210060853,1,-0.996094,0.8769530000000001,-0.0820312
210063463,1,-0.839844,0.96875,-0.34179699999999996
210067849,1,-0.6757810000000001,0.6972659999999999,-0.185547
210069943,1,-0.7089840000000001,0.37304699999999996,-0.169922
210072552,1,-0.8027340000000001,0.0820312,-0.31054699999999996
210075161,1,-1.0625,0.09960939999999999,-1.19531
210077770,1,-1.03516,0.14843800000000001,-1.1875
210080378,1,-0.8164060000000001,0.136719,-0.9785159999999999
210082988,1,-0.6757810000000001,0.3125,-0.9394530000000001
210085596,1,-0.423828,0.351562,-0.9199219999999999
210088205,1,-0.0585938,0.37695300000000004,-1.83008
210090815,1,0.0664062,0.296875,-1.86523
210093424,1,0.10351600000000001,0.22656199999999999,-1.42383
210096033,1,0.107422,0.136719,-0.6972659999999999
210098641,1,0.109375,0.130859,-0.480469
210101250,1,0.134766,0.166016,-0.703125
210103859,1,0.40625,0.5683590000000001,-1.84375
210108256,1,0.253906,0.347656,-0.980469
210110354,1,0.287109,0.306641,-1.0507799999999998
210112964,1,0.277344,0.253906,-0.8007810000000001
210115574,1,0.167969,0.189453,-0.431641
210118184,1,0.12109400000000001,0.162109,-0.3125
210120793,1,0.125,0.128906,-0.554688
210123401,1,0.08398439999999999,0.08007810000000001,-0.533203
210126010,1,0.046875,0.0546875,-0.65625
210128619,1,0.0585938,0.136719,-1.44727
210131229,1,0.0703125,0.171875,-1.87695
210133837,1,0.0898438,0.158203,-1.9707
210136446,1,0.109375,0.0507812,-1.1992200000000002
210139055,1,0.107422,0.00585938,-0.794922
210141664,1,0.109375,-0.015625,-0.5507810000000001
210144274,1,0.16406199999999999,-0.12109400000000001,-0.414062
210148670,1,0.10351600000000001,-0.400391,-0.890625
210150769,1,0.308594,-0.4375,-1.21484
210153819,1,0.6914060000000001,-0.400391,-1.58594
210155989,1,0.5839840000000001,-0.21093800000000001,-1.15625
210158597,1,0.355469,-0.10546900000000001,-0.5996090000000001
210161205,1,0.07226560000000001,-0.0410156,-0.15625
210163814,1,0.0175781,-0.0429688,-0.140625
210166425,1,0.0332031,-0.0214844,-0.160156
210169539,1,0.0410156,-0.107422,-1.0820299999999998
210172148,1,0.0507812,-0.171875,-1.8789099999999999
210174759,1,0.0429688,-0.150391,-1.57617
210177369,1,0.05664059999999999,-0.11914100000000001,-1.30273
210179977,1,0.07226560000000001,-0.130859,-1.18164
210182586,1,0.10546900000000001,-0.230469,-1.32812
210185195,1,0.0625,-0.199219,-1.125
210189808,1,-0.03125,0.146484,-0.451172
210191906,1,-0.0449219,0.439453,-0.447266
210194515,1,-0.130859,0.414062,-0.669922
210197124,1,-0.261719,0.277344,-1.1992200000000002
210199734,1,-0.265625,-0.078125,-2.14062
210202343,1,-0.185547,-0.0410156,-1.60156
210204952,1,-0.0664062,0.0429688,-0.9316409999999999
210207561,1,0.019531200000000002,0.185547,-0.7070310000000001
210210194,1,-0.00976562,0.337891,-0.7714840000000001
210212780,1,-0.07226560000000001,0.384766,-0.6835939999999999
210215389,1,-0.246094,0.347656,-0.794922
210217996,1,-0.351562,0.351562,-1.00977
210220605,1,-0.322266,0.384766,-0.835938
210223214,1,-0.398438,0.476562,-0.96875
210225824,1,-0.472656,0.548828,-1.00781
210230245,1,-0.289062,0.5253909999999999,-0.306641
210232367,1,-0.29492199999999996,0.490234,-0.26757800000000004
210234951,1,-0.3125,0.466797,-0.292969
210237562,1,-0.367188,0.492188,-0.400391
210240171,1,-0.378906,0.382812,-0.441406
210242781,1,-0.34570300000000004,0.302734,-0.5
210245390,1,-0.332031,0.212891,-0.847656
210248000,1,-0.25,0.07226560000000001,-0.988281
210250609,1,-0.171875,0.0820312,-0.654297
210253242,1,-0.10546900000000001,0.0820312,-0.453125
210255826,1,-0.0410156,0.10546900000000001,-0.6152340000000001
210258437,1,-0.027343799999999998,0.142578,-0.8574219999999999
210261514,1,0.0351562,0.08789060000000001,-0.726562
210263847,1,0.0625,0.09375,-0.8007810000000001
210266263,1,0.144531,0.08398439999999999,-1.15234
210270660,1,0.11914100000000001,0.07617189999999999,-0.492188
210272783,1,0.0976562,0.09960939999999999,-0.28320300000000004
210275367,1,0.0898438,0.123047,-0.289062
210277976,1,0.09179689999999999,0.140625,-0.31445300000000004
210280585,1,0.111328,0.177734,-0.5253909999999999
210283194,1,0.09570310000000001,0.253906,-0.9042969999999999
210285803,1,0.08007810000000001,0.31445300000000004,-1.14844
210288413,1,0.0625,0.273438,-0.925781
210291021,1,0.0507812,0.25,-0.8164060000000001
210293655,1,0.0410156,0.203125,-0.658203
210296240,1,0.0449219,0.167969,-0.5117189999999999
210298849,1,0.0449219,0.144531,-0.585938
210301457,1,0.011718799999999998,0.193359,-1.18555
210304067,1,0.0292969,0.154297,-0.9902340000000001
210306675,1,0.0371094,0.11523399999999999,-0.765625
210311073,1,0.027343799999999998,0.0234375,-0.689453
210313195,1,0.019531200000000002,-0.0332031,-0.945312
210315782,1,0.0390625,-0.06835939999999999,-1.09375
210318388,1,0.0488281,-0.125,-1.24414
210320999,1,0.06835939999999999,-0.134766,-0.9199219999999999
210323607,1,0.07226560000000001,-0.109375,-0.695312
210326216,1,0.078125,-0.107422,-0.6191409999999999
210328825,1,0.10351600000000001,-0.123047,-0.765625
210331435,1,0.09960939999999999,-0.09375,-0.701172
210334068,1,0.0898438,-0.0585938,-0.763672
210336653,1,0.0898438,-0.0644531,-0.9472659999999999
210339261,1,0.0820312,-0.08398439999999999,-1.24023
210341870,1,0.0976562,-0.0625,-1.6933599999999998
210344480,1,0.09960939999999999,-0.00585938,-1.63281
210347088,1,0.10546900000000001,0.0703125,-1.44336
210351486,1,0.06054690000000001,0.138672,-0.31054699999999996
210353609,1,0.0546875,0.166016,-0.32617199999999996
210356195,1,0.00585938,0.236328,-0.5507810000000001
210358803,1,-0.0644531,0.277344,-0.90625
210361413,1,-0.019531200000000002,0.37304699999999996,-1.6640599999999999
