rocketState_data.timeStamp_RS,has_rocketState_data,rocketState_data.rocketState0,rocketState_data.rocketState1,rocketState_data.rocketState2,rocketState_data.rocketState3
196210220,1,6,6,6,6
196212829,1,6,6,6,6
196215438,1,6,6,6,6
196218047,1,6,6,6,6
196220656,1,6,6,6,6
196223265,1,6,6,6,6
196225874,1,6,6,6,6
196228483,1,6,6,6,6
196231092,1,6,6,6,6
196235098,1,6,6,6,6
196235699,1,6,6,6,6
196238368,1,6,6,6,6
196240781,1,6,6,6,6
196243135,1,6,6,6,6
196245744,1,6,6,6,6
196248353,1,6,6,6,6
196250944,1,6,6,6,6
196253553,1,6,6,6,6
196256041,1,6,6,6,6
196258650,1,6,6,6,6
196261259,1,6,6,6,6
196263869,1,6,6,6,6
196266477,1,6,6,6,6
196269086,1,6,6,6,6
196271695,1,6,6,6,6
196275703,1,6,6,6,6
196278312,1,6,6,6,6
196280922,1,6,6,6,6
196283530,1,6,6,6,6
196286139,1,6,6,6,6
196288748,1,6,6,6,6
196291357,1,6,6,6,6
196293966,1,6,6,6,6
196296575,1,6,6,6,6
196299184,1,6,6,6,6
196301793,1,6,6,6,6
196304402,1,6,6,6,6
196307011,1,6,6,6,6
196309620,1,6,6,6,6
196312229,1,6,6,6,6
196316235,1,6,6,6,6
196316836,1,6,6,6,6
196319043,1,6,6,6,6
196321592,1,6,6,6,6
196324183,1,6,6,6,6
196326674,1,6,6,6,6
196329283,1,6,6,6,6
196331892,1,6,6,6,6
196334501,1,6,6,6,6
196337110,1,6,6,6,6
196339719,1,6,6,6,6
196342328,1,6,6,6,6
196344937,1,6,6,6,6
196347546,1,6,6,6,6
196350289,1,6,6,6,6
196350890,1,6,6,6,6
196353099,1,6,6,6,6
196356907,1,6,6,6,6
196359516,1,6,6,6,6
196362125,1,6,6,6,6
196364716,1,6,6,6,6
196367325,1,6,6,6,6
196369815,1,6,6,6,6
196372424,1,6,6,6,6
196375033,1,6,6,6,6
196377642,1,6,6,6,6
196380251,1,6,6,6,6
196382860,1,6,6,6,6
196385469,1,6,6,6,6
196388078,1,6,6,6,6
196390687,1,6,6,6,6
196393296,1,6,6,6,6
196397300,1,6,6,6,6
196397901,1,6,6,6,6
196400105,1,6,6,6,6
196402655,1,6,6,6,6
196405264,1,6,6,6,6
196407855,1,6,6,6,6
196410464,1,6,6,6,6
196413073,1,6,6,6,6
196415565,1,6,6,6,6
196418174,1,6,6,6,6
196420783,1,6,6,6,6
196423392,1,6,6,6,6
196426001,1,6,6,6,6
196428610,1,6,6,6,6
196431219,1,6,6,6,6
196433828,1,6,6,6,6
196437832,1,6,6,6,6
196438433,1,6,6,6,6
196440638,1,6,6,6,6
196443188,1,6,6,6,6
196445796,1,6,6,6,6
196448387,1,6,6,6,6
196450880,1,6,6,6,6
196453489,1,6,6,6,6
196456098,1,6,6,6,6
196458707,1,6,6,6,6
196461316,1,6,6,6,6
196463925,1,6,6,6,6
196466604,1,6,6,6,6
196467205,1,6,6,6,6
196469408,1,6,6,6,6
196472018,1,6,6,6,6
196474566,1,6,6,6,6
196478496,1,6,6,6,6
196481087,1,6,6,6,6
196483696,1,6,6,6,6
196486305,1,6,6,6,6
196488799,1,6,6,6,6
196491408,1,6,6,6,6
196494017,1,6,6,6,6
196496626,1,6,6,6,6
196499235,1,6,6,6,6
196501844,1,6,6,6,6
196504453,1,6,6,6,6
196507063,1,6,6,6,6
196509671,1,6,6,6,6
196512280,1,6,6,6,6
196514889,1,6,6,6,6
196518891,1,6,6,6,6
196521500,1,6,6,6,6
196524109,1,6,6,6,6
196526718,1,6,6,6,6
196529327,1,6,6,6,6
196531936,1,6,6,6,6
196534545,1,6,6,6,6
196537154,1,6,6,6,6
196539763,1,6,6,6,6
196542372,1,6,6,6,6
196544981,1,6,6,6,6
196547590,1,6,6,6,6
196550199,1,6,6,6,6
196552808,1,6,6,6,6
196555417,1,6,6,6,6
196559416,1,6,6,6,6
196562025,1,6,6,6,6
196564634,1,6,6,6,6
196567243,1,6,6,6,6
196569852,1,6,6,6,6
196572461,1,6,6,6,6
196575070,1,6,6,6,6
196577679,1,6,6,6,6
196580347,1,6,6,6,6
196582956,1,6,6,6,6
196585565,1,6,6,7,6
196588174,1,6,6,6,6
196590783,1,6,6,6,6
196593392,1,6,6,6,6
196596001,1,6,6,6,6
196600369,1,6,6,6,6
196602978,1,6,6,6,6
196603579,1,6,6,6,6
196605776,1,6,6,6,6
196608385,1,6,6,6,6
196610934,1,6,6,6,6
196613542,1,6,6,6,6
196616152,1,6,6,6,6
196618742,1,6,6,6,6
196621352,1,6,6,6,6
196623852,1,6,6,6,6
196626461,1,6,6,6,6
196629070,1,6,6,6,6
196631679,1,6,6,6,6
196634288,1,6,6,6,6
196636897,1,6,6,6,6
196640891,1,6,6,6,6
196643500,1,6,6,6,6
196646109,1,6,6,6,6
196648718,1,6,6,6,6
196651327,1,6,6,6,6
196653936,1,6,6,6,6
196656545,1,6,6,6,6
196659154,1,6,6,6,6
196661763,1,6,6,6,6
196664372,1,6,6,6,6
196666981,1,6,6,6,6
196669590,1,6,6,6,6
196672199,1,6,6,6,6
196674808,1,6,6,6,6
196677417,1,6,6,6,6
196681409,1,6,6,6,6
196684018,1,6,6,6,6
196686628,1,6,6,6,6
196689236,1,6,6,6,6
196691845,1,6,6,6,6
196694487,1,6,6,6,6
196697096,1,6,6,7,6
196699705,1,6,6,6,6
196702314,1,6,6,6,6
196704923,1,6,6,6,6
196707532,1,6,6,6,6
196710141,1,6,6,6,6
196712750,1,6,6,6,6
196715359,1,6,6,6,6
196717968,1,6,6,6,6
196721953,1,6,6,6,6
196722555,1,6,6,6,6
196724744,1,6,6,6,6
196727352,1,6,6,6,6
196729902,1,6,6,6,6
196732492,1,6,6,6,6
196735102,1,6,6,6,6
196737610,1,6,6,6,6
196740219,1,6,6,6,6
196742828,1,6,6,6,6
196745437,1,6,6,6,6
196748046,1,6,6,6,6
196750655,1,6,6,6,6
196753264,1,6,6,6,6
196755873,1,6,6,6,6
196758482,1,6,6,6,6
196762469,1,6,6,6,6
196763070,1,6,6,6,6
196765256,1,6,6,6,6
196767806,1,6,6,6,6
196770397,1,6,6,6,6
196772908,1,6,6,6,6
196775517,1,6,6,6,6
196778126,1,6,6,6,6
196780735,1,6,6,6,6
196783344,1,6,6,6,6
196785953,1,6,6,6,6
196788562,1,6,6,6,6
196791171,1,6,6,6,6
196793780,1,6,6,6,6
196796389,1,6,6,6,6
196798998,1,6,6,6,6
196802980,1,6,6,6,6
196803581,1,6,6,6,6
196806208,1,6,6,6,6
196808531,1,6,6,6,6
196810930,1,6,6,6,6
196813537,1,6,6,6,6
196816052,1,6,6,6,6
196818661,1,6,6,6,6
196821270,1,6,6,6,6
196823879,1,6,6,6,6
196826488,1,6,6,6,6
196829097,1,6,6,6,6
196831706,1,6,6,6,6
196834315,1,6,6,6,6
196836924,1,6,6,6,6
196839533,1,6,6,6,6
196843515,1,6,6,6,6
196844116,1,6,6,6,6
196846296,1,6,6,6,6
196848845,1,6,6,6,6
196851437,1,6,6,6,6
196853954,1,6,6,6,6
196856563,1,6,6,6,6
196859172,1,6,6,6,6
196861781,1,6,6,6,6
196864390,1,6,6,6,6
196866999,1,6,6,6,6
196869608,1,6,6,6,6
196872217,1,6,6,6,6
196874826,1,6,6,6,6
196877435,1,6,6,6,6
196880044,1,6,6,6,6
196884020,1,6,6,6,6
196884621,1,6,6,6,6
196886797,1,6,6,6,6
196889347,1,6,6,6,6
196891956,1,6,6,6,6
196894547,1,6,6,6,6
196897068,1,6,6,6,6
196899677,1,6,6,6,6
196902286,1,6,6,6,6
196904895,1,6,6,6,6
196907504,1,6,6,6,6
196910113,1,6,6,6,6
196912722,1,6,6,6,6
196915331,1,6,6,6,6
196917940,1,6,6,6,6
196920549,1,6,6,6,6
196924522,1,6,6,6,6
196925124,1,6,6,6,6
196927296,1,6,6,6,6
196929906,1,6,6,6,6
196932515,1,6,6,6,6
196935063,1,6,6,6,6
196937655,1,6,6,6,6
196940263,1,6,6,6,6
196942788,1,6,6,6,6
196945397,1,6,6,6,6
196948006,1,6,6,6,6
196950615,1,6,6,6,6
196953224,1,6,6,6,6
196955833,1,6,6,6,6
196958442,1,6,6,6,6
196961051,1,6,6,6,6
196965021,1,6,6,6,6
196967630,1,6,6,6,6
196968231,1,6,6,6,6
196970400,1,6,6,6,6
196972948,1,6,6,6,6
196975539,1,6,6,6,6
196978068,1,6,6,6,6
196980677,1,6,6,6,6
196983286,1,6,6,6,6
196985895,1,6,6,6,6
196988504,1,6,6,6,6
196991113,1,6,6,6,6
196993722,1,6,6,6,6
196996331,1,6,6,6,6
196998940,1,6,6,6,6
197001549,1,6,6,6,6
197005515,1,6,6,6,6
197006116,1,6,6,6,6
197008283,1,6,6,6,6
197010890,1,6,6,6,6
197013500,1,6,6,6,6
197016108,1,6,6,6,6
197018657,1,6,6,6,6
197021248,1,6,6,6,6
197023857,1,6,6,6,6
197026466,1,6,6,6,6
197029075,1,6,6,6,6
197031682,1,6,6,6,6
197034319,1,6,6,6,6
197036855,1,6,6,6,6
197039464,1,6,6,6,6
197042073,1,6,6,6,6
197046005,1,6,6,6,6
197046606,1,6,6,6,6
197048768,1,6,6,6,6
197051318,1,6,6,6,6
