Time,LSM_IMU_mx,LSM_IMU_my,LSM_IMU_mz,LSM_IMU_gx,LSM_IMU_gy,LSM_IMU_gz,LSM_IMU_ax,LSM_IMU_ay,LSM_IMU_az,gps_lat,gps_long,gps_alt,STE_ALT,STE_VEL,STE_ACC,STE_APO,KX_IMU_ax,KX_IMU_ay,KX_IMU_az,TEMP,barometer_alt,sign,FSM_state,RSSI,Voltage,frequency,flap_extension
2022-5-7--11-25-13-75,-0.56,1.2,-0.65,-0.16,0.97,-1.59,0.03,-0.06,1.04,34.47,-58.64,6812426,0,0,0,0,0.11,0.08,1.07,21.91,205.89,NO SIGN,1,-43,7.75,434,0
2022-5-7--11-25-13-505,-0.59,1.2,-0.65,0.31,1.13,-1.38,0.06,-0.05,1.04,34.47,-58.64,6812287,0,0,0,0,0.11,0.09,1.07,21.91,205.8,NO SIGN,1,-43,7.72,434,0
2022-5-7--11-25-13-935,-0.56,1.19,-0.65,0.11,0.08,-0.78,0.02,-0.04,1.03,34.47,-58.64,6812148,0,0,0,0,0.11,0.1,1.07,21.92,206.07,NO SIGN,1,-43,7.73,434,0
2022-5-7--11-25-14-364,-0.56,1.2,-0.64,0.13,1.02,-1.56,0.01,-0.08,1.04,34.47,-58.64,6812010,0,0,0,0,0.11,0.08,1.07,21.92,206.07,NO SIGN,1,-44,7.73,434,0
2022-5-7--11-25-14-794,-0.56,1.2,-0.63,0.35,0.88,-1.21,0.02,-0.05,1.03,34.39,-58.81,6782808,0,0,0,0,0.11,0.08,1.07,21.92,206.25,NO SIGN,1,-44,7.77,434,0
2022-5-7--11-25-15-224,-0.55,1.21,-0.65,0.34,0.81,-1.2,0.02,-0.06,1.04,34.46,-58.65,6809184,0,0,0,0,0.12,0.09,1.07,21.92,206.42,NO SIGN,1,-43,7.75,434,0
2022-5-7--11-25-15-654,-0.55,1.2,-0.65,0.25,0.82,-1.44,0.04,-0.07,1.04,34.39,-58.8,6782404,0,0,0,0,0.12,0.08,1.07,21.92,205.9,NO SIGN,1,-44,7.72,434,0
2022-5-7--11-25-16-83,-0.56,1.2,-0.66,-0.36,0.64,-0.88,0.06,-0.06,1.04,34.39,-58.8,6782243,0,0,0,0,0.12,0.07,1.07,21.92,206.25,NO SIGN,1,-44,7.75,434,0
2022-5-7--11-25-16-513,-0.56,1.26,-0.69,0.34,1.15,-1.31,0.03,-0.08,1.03,34.46,-58.65,6808762,0,0,0,0,0.13,0.09,1.08,21.92,205.99,NO SIGN,1,-43,7.75,434,0
2022-5-7--11-25-16-943,-0.56,1.2,-0.65,0.32,0.92,-1.77,0.02,-0.06,1.03,34.46,-58.65,6808621,0,0,0,0,0.12,0.09,1.07,21.92,206.07,NO SIGN,1,-44,7.76,434,0
2022-5-7--11-25-17-373,-0.56,1.23,-0.69,0.31,0.8,-1.99,0.05,-0.07,1.04,34.46,-58.65,6808480,0,0,0,0,0.11,0.07,1.07,21.93,206.17,NO SIGN,1,-45,7.76,434,0
2022-5-7--11-25-17-802,-0.57,1.2,-0.64,1.11,-0.19,-1.74,0.07,-0.08,1.03,34.38,-58.8,6781517,0,0,0,0,0.1,0.05,1.07,21.93,205.99,NO SIGN,1,-49,7.72,434,0
2022-5-7--11-25-18-232,-0.56,1.25,-0.69,0.1,1.08,-1.1,0.03,-0.06,1.04,34.46,-58.65,6808127,0,0,0,0,0.11,0.1,1.07,21.93,205.73,NO SIGN,1,-57,7.74,434,0
2022-5-7--11-25-18-677,-0.6,1.15,-0.6,1.41,0.95,-2.1,0.03,-0.07,1.04,41.49,-89.5,223000,0,0,0,0,0.11,0.09,1.06,21.92,206.07,NO SIGN,1,-65,7.77,434,0
2022-5-7--11-25-19-106,-0.56,1.16,-0.63,0.3,0.85,-1.03,0.02,-0.04,1.04,41.49,-89.5,222984,0,0,0,0,0.11,0.07,1.07,21.93,206.08,NO SIGN,1,-68,7.74,434,0
2022-5-7--11-25-19-536,-0.56,1.19,-0.64,-0.81,1.85,-0.94,0.01,-0.1,1.04,41.49,-89.5,223484,0,0,0,0,0.13,0.11,1.08,21.93,205.99,NO SIGN,1,-88,7.76,434,0
2022-5-7--11-25-19-966,-0.56,1.22,-0.65,0.76,1.1,-1.2,0.04,-0.06,1.05,41.49,-89.5,222582,0,0,0,0,0.1,0.08,1.07,21.93,205.91,NO SIGN,1,-75,7.76,434,0
2022-5-7--11-25-20-395,-0.56,1.19,-0.62,0.36,1.29,-1.25,0.05,-0.05,1.03,41.49,-89.5,222383,0,0,0,0,0.11,0.1,1.06,21.93,205.82,NO SIGN,1,-77,7.73,434,0
2022-5-7--11-25-20-825,-0.55,1.19,-0.67,-0.32,1.02,-1.51,0.03,-0.04,1.04,41.49,-89.5,221668,0,0,0,0,0.11,0.08,1.07,21.93,205.99,NO SIGN,1,-68,7.76,434,0
