serial,tick,ptype,state,v_batt,v_pyro,sense,v_apogee,v_main,ground_pres,ground_accel,accel_plus_g,accel_minus_g,acceleration,speed,height,crc
11047,315.45,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97661,-29,-29,10,-0.125,-1,-1,TRUE
11047,316.46,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97661,-29,-29,10,-0.3125,-1,-1,TRUE
11047,317.47,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97661,-29,-29,10,-0.3125,-1,-1,TRUE
11047,318.48,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97661,-29,-29,10,-0.625,-0.9375,-1,TRUE
11047,319.49,9,2,4.09,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97661,-29,-29,10,-0.8125,-1.125,-1,TRUE
11047,320.5,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97661,-29,-29,10,-0.1875,-1.0625,-1,TRUE
11047,321.51,9,2,4.09,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97661,-29,-29,10,-0.625,-1.125,-1,TRUE
11047,322.52,9,2,4.09,4.19,0.00 0.00 0.00 4.20,4.2,4.2,97661,-29,-29,10,-0.5,-1,-1,TRUE
11047,323.53,9,2,4.09,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97661,-29,-29,10,-0.75,-1.125,-1,TRUE
11047,324.54,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97661,-29,-29,10,-0.6875,-1,-1,TRUE
11047,325.55,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97661,-29,-29,10,-0.125,-0.9375,-1,TRUE
11047,326.56,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.375,-0.9375,0,TRUE
11047,327.57,9,2,4.09,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97659,-29,-29,10,-0.625,-1,0,TRUE
11047,328.58,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.375,-0.9375,-1,TRUE
11047,329.59,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.125,-0.8125,0,TRUE
11047,330.6,9,2,4.09,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.5625,-1,0,TRUE
11047,331.61,9,2,4.09,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.4375,-1.0625,0,TRUE
