Time,gps_lat,gps_long,gps_alt,TEMP,KX_IMU_ax,KX_IMU_ay,KX_IMU_az,STE_ALT,STE_VEL,STE_ACC,STE_APO,BNO_YAW,BNO_PITCH,BNO_ROLL,IMU_gx,IMU_gy,IMU_gz,IMU_mx,IMU_my,IMU_mz,FSM_state,sign,RSSI,Voltage,frequency,flap_extension,pressure,Continuity1,Continuity2,Continuity3,Continuity4,TelemLatency,Pyro1,Pyro2,Pyro3,Pyro4,Pyro1Firing,Pyro2Firing,Pyro3Firing,Pyro4Firing,is_booster,sense_pyro
2024-3-23--13-50-47-878,37.10132,-97.44032,387.88,26.85938,1.04297,0,-0.00391,,,,,1.54578,0.93152,-1.03772,1.375,-2.375,-0.625,-0.80176,1.20703,-2.04895,0,KD9ZMJ,-107,8.0625,,,1002.1875,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-47-943,37.10132,-97.44032,387.88,26.87891,1.03125,-0.00781,-0.04297,,,,,1.54578,0.93152,-1.03772,1.25,-2.5,-0.75,-0.80017,1.20605,-2.02917,0,KD9ZMJ,-107,7.9375,,,1002.125,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-48-135,37.10132,-97.44032,387.88,26.87891,1,-0.01172,-0.03516,,,,,1.54578,0.93152,-1.03772,1.25,-2.5,-0.75,-0.80017,1.20605,-2.02917,0,KD9ZMJ,-107,7.9375,,,1002.25,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-48-202,37.10132,-97.44032,387.88,26.87891,1.01953,0,-0.04297,,,,,1.54578,0.93152,-1.03772,1.25,-2.5,-0.75,-0.79895,1.20801,-2.0321,0,KD9ZMJ,-107,8.375,,,1002.25,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-48-266,37.10132,-97.44032,387.88,26.87891,1.03516,-0.00781,-0.05078,,,,,1.54578,0.93152,-1.03772,1.25,-2.5,-0.75,-0.79895,1.20801,-2.0321,0,KD9ZMJ,-107,8.375,,,1002.125,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-48-331,37.10132,-97.44032,387.88,26.87891,1.02734,0.01953,-0.03125,,,,,1.54578,0.93152,-1.03772,1.25,-2.5,-0.75,-0.79895,1.20801,-2.0321,0,KD9ZMJ,-107,8.375,,,1002.125,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-48-398,37.10132,-97.44032,387.88,26.87891,1.04688,0.01953,-0.00781,,,,,1.54578,0.93152,-1.03772,1.25,-2.5,-0.75,-0.79895,1.20801,-2.0321,0,KD9ZMJ,-107,8.375,,,1002.25,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-48-463,37.10132,-97.44032,387.88,26.87891,1.02344,0.01172,-0.04687,,,,,1.54578,0.93152,-1.03772,1.25,-2.5,-0.75,-0.80017,1.20447,-2.03528,0,KD9ZMJ,-106,8.0625,,,1002,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-48-527,37.10132,-97.44032,387.88,26.87891,1.03516,0.03125,-0.05078,,,,,1.54578,0.93152,-1.03772,1.25,-2.5,-0.75,-0.80017,1.20447,-2.03528,0,KD9ZMJ,-106,8.0625,,,1002.25,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-48-592,37.10132,-97.44032,387.88,26.87891,1.04297,0.00391,-0.01563,,,,,1.54614,0.95801,-1.06409,1.25,-2.5,-0.75,-0.80017,1.20447,-2.03528,0,KD9ZMJ,-106,8.0625,,,1002.375,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
