15.10	1264	101.3F	9.1
15.15	1253	101.3F	9.1
15.20	1249	101.3F	9.1
15.25	1245	101.3F	9.1
15.30	1242	101.3F	9.1
15.35	1244	101.3F	9.1
15.40	1248	101.3F	9.1
15.45	1251	101.3F	9.1
15.50	1239	101.3F	9.1
15.55	1233	101.3F	9.1
15.60	1228	101.3F	9.1
15.65	1231	101.3F	9.1
15.70	1231	101.3F	9.1
15.75	1226	101.3F	9.1
15.80	1234	101.3F	9.1
15.85	1231	101.3F	9.1
15.90	1215	101.3F	9.1
15.95	1224	101.3F	9.1
16.00	1220	101.3F	9.1
16.05	1216	101.3F	9.1
16.10	1214	101.3F	9.1
16.15	1211	101.3F	9.1
16.20	1210	101.3F	9.1
16.25	1210	101.3F	9.1
16.30	1207	101.3F	9.1
16.35	1206	101.3F	9.1
16.40	1212	101.3F	9.1
16.45	1211	101.3F	9.1
16.50	1209	101.3F	9.1
16.55	1203	101.3F	9.1
16.60	1202	101.3F	9.1
16.65	1196	101.3F	9.1
16.70	1192	101.3F	9.1
16.75	1189	101.3F	9.1
16.80	1189	101.3F	9.1
16.85	1187	101.3F	9.1
16.90	1188	101.3F	9.1
16.95	1189	101.3F	9.1
17.00	1185	101.3F	9.1
17.05	1182	101.3F	9.1
17.10	1181	101.3F	9.1
17.15	1179	101.3F	9.1
17.20	1180	101.3F	9.1
17.25	1181	101.3F	9.1
17.30	1177	101.3F	9.1
17.35	1175	101.3F	9.1
17.40	1171	101.3F	9.1
17.45	1169	101.3F	9.1
17.50	1167	101.3F	9.1
17.55	1167	101.3F	9.1
17.60	1165	101.3F	9.1
17.65	1162	101.3F	9.1
17.70	1163	101.3F	9.1
17.75	1162	101.3F	9.1
17.80	1163	101.3F	9.1
17.85	1164	101.3F	9.1
17.90	1162	101.3F	9.1
17.95	1161	101.3F	9.1
18.00	1157	101.3F	9.1
18.05	1156	101.3F	9.1
18.10	1154	101.3F	9.1
18.15	1151	101.3F	9.1
18.20	1149	101.3F	9.1
18.25	1151	101.3F	9.1
18.30	1147	101.3F	9.1
18.35	1144	101.3F	9.1
18.40	1143	101.3F	9.1
18.45	1143	101.3F	9.1
18.50	1143	101.3F	9.1
18.55	1140	101.3F	9.1
18.60	1131	101.3F	9.1
18.65	1129	101.3F	9.1
18.70	1124	101.3F	9.1
18.75	1122	101.3F	9.1
18.80	1125	101.3F	9.1
18.85	1130	101.3F	9.1
18.90	1129	101.3F	9.1
18.95	1131	101.3F	9.1
19.00	1127	101.3F	9.1
19.05	1117	101.3F	9.1
19.10	1111	101.2F	9.1
19.15	1118	101.3F	9.1
19.20	1126	101.2F	9.1
19.25	1117	101.2F	9.1
19.30	1115	101.3F	9.1
19.35	1107	101.3F	9.1
19.40	1112	101.3F	9.1
19.45	1110	101.3F	9.1
19.50	1110	101.2F	9.1
19.55	1106	101.3F	9.1
19.60	1104	101.3F	9.1
19.65	1104	101.2F	9.1
19.70	1101	101.3F	9.1
19.75	1105	101.2F	9.1
19.80	1106	101.2F	9.1
19.85	1092	101.2F	9.1
19.90	1086	101.2F	9.1
19.95	1098	101.2F	9.1
20.00	1083	101.2F	9.1
20.05	1090	101.2F	9.1
20.10	1091	101.2F	9.1
20.15	1082	101.2F	9.1
20.20	1075	101.2F	9.1
20.25	1073	101.2F	9.1
20.30	1074	101.2F	9.1
20.35	1077	101.2F	9.1
20.40	1073	101.2F	9.1
20.45	1067	101.2F	9.1
20.50	1065	101.2F	9.1
20.55	1069	101.2F	9.1
20.60	1066	101.2F	9.1
20.65	1063	101.2F	9.1
